Year,Agency Name,Number of AI-related regulations
2016,Homeland Security Department,1
2018,Centers for Medicare & Medicaid Services,1
2018,Executive Office of the President,2
2018,Health and Human Services Department,1
2019,Centers for Medicare & Medicaid Services,2
2019,Consumer Financial Protection Bureau,1
2019,"Copyright Office, Library of Congress",1
2019,Executive Office of the President,6
2019,Health and Human Services Department,2
2019,Library of Congress,1
2020,Centers for Medicare & Medicaid Services,4
2020,Children and Families Administration,1
2020,Commerce Department,1
2020,Education Department,2
2020,Executive Office of the President,5
2020,Federal Communications Commission,1
2020,Food and Drug Administration,1
2020,Health and Human Services Department,5
2020,Housing and Urban Development Department,1
2020,Investment Security Office,1
2020,Office of Inspector General,2
2020,Office of the Secretary,1
2020,Patent and Trademark Office,1
2020,Treasury Department,1
2021,Centers for Medicare & Medicaid Services,5
2021,Children and Families Administration,1
2021,Commerce Department,1
2021,Employment and Training Administration,1
2021,Executive Office of the President,2
2021,Food and Drug Administration,1
2021,Health and Human Services Department,5
2021,Homeland Security Department,3
2021,Labor Department,1
2021,Office of the Inspector General,1
2021,Office of the Secretary,3
2021,Public Health Service,1
2022,Centers for Medicare & Medicaid Services,4
2022,Children and Families Administration,1
2022,Commerce Department,3
2022,Comptroller of the Currency,1
2022,Consumer Financial Protection Bureau,1
2022,Employee Benefits Security Administration,1
2022,Executive Office of the President,3
2022,Food and Drug Administration,2
2022,Health and Human Services Department,5
2022,Industry and Security Bureau,3
2022,Labor Department,1
2022,Nuclear Regulatory Commission,1
2022,Office of the Inspector General,1
2022,Office of the Secretary,1
2022,Public Health Service,1
2022,Securities and Exchange Commission,1
2022,Treasury Department,1
2023,Census Bureau,1
2023,Centers for Medicare & Medicaid Services,3
2023,Commerce Department,5
2023,Consumer Financial Protection Bureau,1
2023,"Copyright Office, Library of Congress",1
2023,Energy Department,1
2023,Executive Office of the President,5
2023,Federal Railroad Administration,1
2023,Food and Drug Administration,1
2023,Health and Human Services Department,4
2023,Homeland Security Department,1
2023,Housing and Urban Development Department,1
2023,Industry and Security Bureau,4
2023,Labor Department,1
2023,Library of Congress,1
2023,National Credit Union Administration,1
2023,National Science Foundation,1
2023,Occupational Safety and Health Administration,1
2023,Office of the Secretary,1
2023,Securities and Exchange Commission,2
2023,Transportation Department,1
