Year,Primary subject matter,Number of AI-related regulations
2016,Immigration,1
2018,Labor and employment,1
2019,"Science, technology, communications",2
2020,Education,1
2020,Government operations and politics,2
2020,Health,3
2020,Housing and community development,1
2021,Commerce,1
2021,Crime and law enforcement,1
2021,Health,4
2022,Finance and financial sector,1
2022,Foreign trade and international finance,2
2022,Health,1
2022,"Science, technology, communications",1
2023,Armed forces and national security,1
2023,"Civil rights and liberties, minority issues",1
2023,Commerce,2
2023,Foreign trade and international finance,3
2023,Health,2
2023,"Science, technology, communications",2
