Year,Institution and Body Name,Number of AI-related regulations
2017,Council of the European Union,1
2017,EuroNest Parliamentary Assembly,1
2017,European Commission,1
2017,European Parliament,1
2018,Council of the European Union,3
2018,European Commission,1
2018,European Parliament,2
2019,Council of the European Union,4
2019,DG Competition (EC),3
2019,DG Connect (EC),1
2019,DG GROW (EC),1
2019,DG SANTE (EC),1
2019,EuroNest Parliamentary Assembly,1
2019,European Parliament,2
2020,Council of the European Union,7
2020,DG Trade (EC),1
2020,Euratom,2
2020,European Commission,2
2020,European Parliament,2
2020,Eurostat (EC),1
2021,Council of the European Union,25
2021,DG Competition (EC),3
2021,DG Connect (EC),1
2021,DG ECFIN (EC),2
2021,DG Energy (EC),1
2021,DG FISMA (EC),1
2021,DG Trade (EC),2
2021,EuroNest Parliamentary Assembly,1
2021,European Commission,4
2021,European Parliament,18
2021,Joint Research Centre (EC),1
2021,Secretariat-General (EC),2
2022,Council of the European Union,16
2022,DG Competition (EC),2
2022,EU-Egypt Association Council,1
2022,EU-Moldova Association Council,1
2022,European Commission,1
2022,European Parliament,9
2022,Eurostat (EC),1
2023,Council of the European Union,13
2023,DG Competition (EC),2
2023,DG Connect (EC),3
2023,DG DEFIS (EC),1
2023,DG HOME (EC),1
2023,DG JUST (EC),3
2023,DG MOVE (EC),1
2023,European Parliament,9
2023,Eurostat (EC),1
