Head Agency,Budget (in millions of U.S. dollars) FY 2021 (enacted),Budget (in millions of U.S. dollars) FY 2022 (enacted),Budget (in millions of U.S. dollars) FY 2023 (enacted),Budget (in millions of U.S. dollars) FY 2024 (requested)
DARPA,412.00,429.80,400.50,322.10
DHS,37.70,41.40,38.60,34.30
DOD,107.50,227.50,241.30,274.00
DOE,180.80,164.40,169.90,169.90
DOI,8.00,8.80,13.70,34.20
DOT,12.40,6.40,8.80,10.30
ED-IES,10.00,0.00,0.00,0.00
FDA,46.40,32.40,39.80,35.80
NARA,0.00,0.00,0.50,0.10
NASA,2.90,2.90,4.00,4.00
NIH,178.20,268.80,288.20,284.50
NIJ,9.10,5.80,8.00,8.00
NIOSH,3.80,9.50,8.40,8.40
NIST,25.90,26.00,31.00,31.00
NOAA,1.20,0.00,0.00,0.00
NSF,395.90,506.50,418.40,531.30
NTIA,1.20,0.00,0.00,0.00
TREAS,0.00,0.40,0.30,0.30
USDA,145.20,93.20,95.20,104.20
VA,0.00,15.00,21.00,20.00
