Segment,Fiscal year,U.S. government spending (in billions of U.S. dollars)
Autonomy,2018,0.33
Computer Vision,2018,0.54
Machine Learning,2018,0.42
Natural Language Processing,2018,0.09
Autonomy,2019,0.54
Computer Vision,2019,0.53
Machine Learning,2019,0.69
Natural Language Processing,2019,0.14
Autonomy,2020,0.81
Computer Vision,2020,0.55
Machine Learning,2020,0.88
Natural Language Processing,2020,0.23
Autonomy,2021,1.01
Computer Vision,2021,0.6
Machine Learning,2021,0.77
Natural Language Processing,2021,0.21
Autonomy,2022,1.24
Computer Vision,2022,0.89
Machine Learning,2022,0.88
Natural Language Processing,2022,0.18
Autonomy,2023,0.55
Computer Vision,2023,1.04
Machine Learning,2023,1.51
Natural Language Processing,2023,0.23
