Year,"CS, CE, and information faculty (% of total)",Label
2020,0.04%,Nonbinary/Other
2021,0.12%,Nonbinary/Other
2022,0.12%,Nonbinary/Other
2011,18.96%,Female
2012,19.51%,Female
2013,19.36%,Female
2014,19.53%,Female
2015,19.95%,Female
2016,20.60%,Female
2017,20.53%,Female
2018,20.84%,Female
2019,22.56%,Female
2020,23.24%,Female
2021,23.94%,Female
2022,24.27%,Female
2011,81.04%,Male
2012,80.49%,Male
2013,80.64%,Male
2014,80.47%,Male
2015,80.05%,Male
2016,79.40%,Male
2017,79.47%,Male
2018,79.16%,Male
2019,77.44%,Male
2020,76.72%,Male
2021,75.94%,Male
2022,75.60%,Male
