Year,"New CS, CE, and information faculty hires (% of total)",Label
2020,0.00%, Nonbinary/Other
2021,0.57%, Nonbinary/Other
2022,0.33%, Nonbinary/Other
2011,21.73%,Female
2012,25.25%,Female
2013,20.95%,Female
2014,22.12%,Female
2015,21.63%,Female
2016,24.78%,Female
2017,24.86%,Female
2018,22.85%,Female
2019,25.85%,Female
2020,28.50%,Female
2021,30.17%,Female
2022,28.00%,Female
2011,78.27%,Male
2012,74.75%,Male
2013,79.05%,Male
2014,77.88%,Male
2015,78.37%,Male
2016,75.22%,Male
2017,75.14%,Male
2018,77.15%,Male
2019,74.15%,Male
2020,71.50%,Male
2021,69.26%,Male
2022,71.67%,Male
