Year,"Number of CS, CE, and information faculty",Ethnicity
2011,19,American Indian or Alaska Native
2012,33,American Indian or Alaska Native
2013,12,American Indian or Alaska Native
2014,64,American Indian or Alaska Native
2015,11,American Indian or Alaska Native
2016,9,American Indian or Alaska Native
2017,11,American Indian or Alaska Native
2018,28,American Indian or Alaska Native
2019,21,American Indian or Alaska Native
2020,13,American Indian or Alaska Native
2021,17,American Indian or Alaska Native
2022,17,American Indian or Alaska Native
2011,6,Native Hawaiian or Pacific Islander
2012,45,Native Hawaiian or Pacific Islander
2013,8,Native Hawaiian or Pacific Islander
2014,6,Native Hawaiian or Pacific Islander
2015,27,Native Hawaiian or Pacific Islander
2016,19,Native Hawaiian or Pacific Islander
2017,2,Native Hawaiian or Pacific Islander
2018,7,Native Hawaiian or Pacific Islander
2019,17,Native Hawaiian or Pacific Islander
2020,2,Native Hawaiian or Pacific Islander
2021,9,Native Hawaiian or Pacific Islander
2022,29,Native Hawaiian or Pacific Islander
2011,8,Multiracial (not Hispanic)
2012,28,Multiracial (not Hispanic)
2013,45,Multiracial (not Hispanic)
2014,50,Multiracial (not Hispanic)
2015,32,Multiracial (not Hispanic)
2016,26,Multiracial (not Hispanic)
2017,45,Multiracial (not Hispanic)
2018,31,Multiracial (not Hispanic)
2019,43,Multiracial (not Hispanic)
2020,42,Multiracial (not Hispanic)
2021,45,Multiracial (not Hispanic)
2022,47,Multiracial (not Hispanic)
2011,83,Black or African American
2012,97,Black or African American
2013,120,Black or African American
2014,109,Black or African American
2015,130,Black or African American
2016,141,Black or African American
2017,132,Black or African American
2018,128,Black or African American
2019,148,Black or African American
2020,156,Black or African American
2021,171,Black or African American
2022,176,Black or African American
2011,137,Hispanic (any race)
2012,122,Hispanic (any race)
2013,130,Hispanic (any race)
2014,153,Hispanic (any race)
2015,145,Hispanic (any race)
2016,147,Hispanic (any race)
2017,164,Hispanic (any race)
2018,185,Hispanic (any race)
2019,192,Hispanic (any race)
2020,193,Hispanic (any race)
2021,188,Hispanic (any race)
2022,207,Hispanic (any race)
2011,203,Unknown
2012,224,Unknown
2013,70,Unknown
2014,204,Unknown
2015,302,Unknown
2016,241,Unknown
2017,381,Unknown
2018,239,Unknown
2019,291,Unknown
2020,265,Unknown
2021,391,Unknown
2022,406,Unknown
2011,1244,Asian
2012,1299,Asian
2013,1298,Asian
2014,1489,Asian
2015,1496,Asian
2016,1585,Asian
2017,1654,Asian
2018,1888,Asian
2019,1936,Asian
2020,1862,Asian
2021,1997,Asian
2022,2100,Asian
2011,3761,White
2012,3883,White
2013,3552,White
2014,3808,White
2015,3855,White
2016,3867,White
2017,3915,White
2018,4112,White
2019,4127,White
2020,3854,White
2021,3905,White
2022,3997,White
