Year,"CS, CE, and information faculty (% of total)",Ethinicity
2011,0.35%,American Indian or Alaska Native
2012,0.58%,American Indian or Alaska Native
2013,0.23%,American Indian or Alaska Native
2014,1.09%,American Indian or Alaska Native
2015,0.18%,American Indian or Alaska Native
2016,0.15%,American Indian or Alaska Native
2017,0.17%,American Indian or Alaska Native
2018,0.42%,American Indian or Alaska Native
2019,0.31%,American Indian or Alaska Native
2020,0.20%,American Indian or Alaska Native
2021,0.25%,American Indian or Alaska Native
2022,0.24%,American Indian or Alaska Native
2011,0.11%,Native Hawaiian or Pacific Islander
2012,0.79%,Native Hawaiian or Pacific Islander
2013,0.15%,Native Hawaiian or Pacific Islander
2014,0.10%,Native Hawaiian or Pacific Islander
2015,0.45%,Native Hawaiian or Pacific Islander
2016,0.31%,Native Hawaiian or Pacific Islander
2017,0.03%,Native Hawaiian or Pacific Islander
2018,0.11%,Native Hawaiian or Pacific Islander
2019,0.25%,Native Hawaiian or Pacific Islander
2020,0.03%,Native Hawaiian or Pacific Islander
2021,0.13%,Native Hawaiian or Pacific Islander
2022,0.42%,Native Hawaiian or Pacific Islander
2011,0.15%,Multiracial (not Hispanic)
2012,0.49%,Multiracial (not Hispanic)
2013,0.86%,Multiracial (not Hispanic)
2014,0.85%,Multiracial (not Hispanic)
2015,0.53%,Multiracial (not Hispanic)
2016,0.43%,Multiracial (not Hispanic)
2017,0.71%,Multiracial (not Hispanic)
2018,0.47%,Multiracial (not Hispanic)
2019,0.63%,Multiracial (not Hispanic)
2020,0.66%,Multiracial (not Hispanic)
2021,0.67%,Multiracial (not Hispanic)
2022,0.67%,Multiracial (not Hispanic)
2011,1.52%,Black or African American
2012,1.69%,Black or African American
2013,2.29%,Black or African American
2014,1.85%,Black or African American
2015,2.17%,Black or African American
2016,2.34%,Black or African American
2017,2.09%,Black or African American
2018,1.93%,Black or African American
2019,2.18%,Black or African American
2020,2.44%,Black or African American
2021,2.54%,Black or African American
2022,2.52%,Black or African American
2011,2.51%,Hispanic (any race)
2012,2.13%,Hispanic (any race)
2013,2.48%,Hispanic (any race)
2014,2.60%,Hispanic (any race)
2015,2.42%,Hispanic (any race)
2016,2.44%,Hispanic (any race)
2017,2.60%,Hispanic (any race)
2018,2.80%,Hispanic (any race)
2019,2.83%,Hispanic (any race)
2020,3.02%,Hispanic (any race)
2021,2.80%,Hispanic (any race)
2022,2.97%,Hispanic (any race)
2011,3.72%,Unknown
2012,3.91%,Unknown
2013,1.34%,Unknown
2014,3.47%,Unknown
2015,5.04%,Unknown
2016,3.99%,Unknown
2017,6.04%,Unknown
2018,3.61%,Unknown
2019,4.30%,Unknown
2020,4.15%,Unknown
2021,5.82%,Unknown
2022,5.82%,Unknown
2011,22.78%,Asian
2012,22.67%,Asian
2013,24.79%,Asian
2014,25.31%,Asian
2015,24.94%,Asian
2016,26.26%,Asian
2017,26.24%,Asian
2018,28.53%,Asian
2019,28.58%,Asian
2020,29.15%,Asian
2021,29.70%,Asian
2022,30.09%,Asian
2011,68.87%,White
2012,67.75%,White
2013,67.85%,White
2014,64.73%,White
2015,64.27%,White
2016,64.08%,White
2017,62.10%,White
2018,62.13%,White
2019,60.92%,White
2020,60.34%,White
2021,58.08%,White
2022,57.27%,White
