Country,Year,Gender,Percentage
Austria,2011,Female,15.94%
Austria,2012,Female,13.12%
Austria,2013,Female,13.48%
Austria,2014,Female,14.77%
Austria,2015,Female,17.05%
Austria,2016,Female,16.79%
Austria,2017,Female,17.10%
Austria,2018,Female,18.20%
Austria,2019,Female,19.47%
Austria,2020,Female,19.46%
Austria,2021,Female,20.94%
Austria,2022,Female,19.74%
Belgium,2011,Female,7.10%
Belgium,2012,Female,5.29%
Belgium,2013,Female,5.48%
Belgium,2014,Female,5.86%
Belgium,2015,Female,6.46%
Belgium,2016,Female,6.38%
Belgium,2017,Female,6.94%
Belgium,2018,Female,8.13%
Belgium,2019,Female,7.31%
Belgium,2020,Female,7.62%
Belgium,2021,Female,7.93%
Bulgaria,2011,Female,40.80%
Bulgaria,2012,Female,40.09%
Bulgaria,2013,Female,38.97%
Bulgaria,2014,Female,41.47%
Bulgaria,2015,Female,35.43%
Bulgaria,2016,Female,38.35%
Bulgaria,2017,Female,37.91%
Bulgaria,2018,Female,35.66%
Bulgaria,2019,Female,32.54%
Bulgaria,2020,Female,32.06%
Bulgaria,2021,Female,31.90%
Bulgaria,2022,Female,35.23%
Czech Republic,2011,Female,10.04%
Czech Republic,2012,Female,10.32%
Czech Republic,2013,Female,11.93%
Czech Republic,2014,Female,14.50%
Czech Republic,2015,Female,15.53%
Czech Republic,2016,Female,16.86%
Czech Republic,2017,Female,16.85%
Czech Republic,2018,Female,16.89%
Czech Republic,2019,Female,18.11%
Czech Republic,2020,Female,16.71%
Czech Republic,2021,Female,17.03%
Czech Republic,2022,Female,16.22%
Estonia,2011,Female,25.69%
Estonia,2012,Female,19.13%
Estonia,2013,Female,22.51%
Estonia,2014,Female,26.85%
Estonia,2015,Female,27.02%
Estonia,2016,Female,26.53%
Estonia,2017,Female,27.64%
Estonia,2018,Female,27.16%
Estonia,2019,Female,30.20%
Estonia,2020,Female,32.35%
Estonia,2021,Female,23.48%
Estonia,2022,Female,24.00%
Finland,2011,Female,18.72%
Finland,2012,Female,17.46%
Finland,2013,Female,16.63%
Finland,2014,Female,15.14%
Finland,2015,Female,17.72%
Finland,2016,Female,16.18%
Finland,2017,Female,18.82%
Finland,2018,Female,17.94%
Finland,2019,Female,18.78%
Finland,2020,Female,19.32%
Finland,2021,Female,21.93%
Finland,2022,Female,24.65%
France,2011,Female,18.53%
France,2012,Female,17.24%
France,2013,Female,16.14%
France,2014,Female,15.86%
France,2015,Female,15.90%
France,2016,Female,14.91%
France,2017,Female,13.06%
France,2018,Female,12.33%
France,2019,Female,13.29%
France,2020,Female,13.91%
France,2021,Female,14.75%
Germany,2011,Female,14.34%
Germany,2012,Female,14.93%
Germany,2013,Female,16.36%
Germany,2014,Female,16.16%
Germany,2015,Female,17.06%
Germany,2016,Female,17.90%
Germany,2017,Female,18.38%
Germany,2018,Female,19.63%
Germany,2019,Female,19.69%
Germany,2020,Female,20.86%
Germany,2021,Female,20.98%
Germany,2022,Female,21.49%
Ireland,2011,Female,21.88%
Ireland,2012,Female,22.33%
Ireland,2013,Female,17.97%
Ireland,2014,Female,17.54%
Ireland,2015,Female,15.18%
Ireland,2016,Female,16.91%
Ireland,2017,Female,17.38%
Ireland,2018,Female,18.02%
Ireland,2019,Female,17.94%
Ireland,2020,Female,18.76%
Ireland,2021,Female,19.79%
Ireland,2022,Female,16.29%
Italy,2011,Female,14.35%
Italy,2012,Female,14.02%
Italy,2013,Female,15.13%
Italy,2014,Female,14.69%
Italy,2015,Female,14.34%
Italy,2016,Female,15.02%
Italy,2017,Female,14.13%
Italy,2018,Female,14.56%
Italy,2019,Female,14.49%
Italy,2020,Female,14.62%
Italy,2021,Female,14.84%
Italy,2022,Female,14.05%
Latvia,2011,Female,18.96%
Latvia,2012,Female,17.49%
Latvia,2013,Female,18.01%
Latvia,2014,Female,21.19%
Latvia,2015,Female,22.08%
Latvia,2016,Female,19.82%
Latvia,2017,Female,20.68%
Latvia,2018,Female,19.29%
Latvia,2019,Female,20.45%
Latvia,2020,Female,23.48%
Latvia,2021,Female,19.09%
Latvia,2022,Female,21.03%
Lithuania,2014,Female,16.24%
Lithuania,2015,Female,12.48%
Lithuania,2016,Female,9.73%
Lithuania,2017,Female,9.62%
Lithuania,2018,Female,13.13%
Lithuania,2019,Female,14.93%
Lithuania,2020,Female,15.29%
Lithuania,2021,Female,16.07%
Lithuania,2022,Female,12.98%
Netherlands,2011,Female,10.40%
Netherlands,2012,Female,11.19%
Netherlands,2013,Female,13.84%
Netherlands,2014,Female,15.25%
Netherlands,2015,Female,15.88%
Netherlands,2016,Female,16.60%
Netherlands,2017,Female,17.22%
Netherlands,2018,Female,18.33%
Netherlands,2019,Female,17.49%
Netherlands,2020,Female,20.11%
Netherlands,2021,Female,21.00%
Netherlands,2022,Female,21.58%
Norway,2011,Female,15.79%
Norway,2012,Female,19.46%
Norway,2013,Female,15.52%
Norway,2014,Female,14.29%
Norway,2015,Female,15.29%
Norway,2016,Female,16.19%
Norway,2017,Female,16.02%
Norway,2018,Female,13.58%
Norway,2019,Female,15.96%
Norway,2020,Female,18.18%
Norway,2021,Female,18.59%
Norway,2022,Female,21.37%
Poland,2011,Female,11.37%
Poland,2012,Female,10.96%
Poland,2013,Female,12.32%
Poland,2014,Female,12.15%
Poland,2015,Female,14.51%
Poland,2016,Female,14.32%
Poland,2017,Female,15.04%
Poland,2018,Female,14.86%
Poland,2019,Female,14.90%
Poland,2020,Female,14.39%
Poland,2021,Female,14.45%
Poland,2022,Female,14.47%
Portugal,2011,Female,12.74%
Portugal,2012,Female,12.08%
Portugal,2013,Female,12.08%
Portugal,2014,Female,12.80%
Portugal,2015,Female,11.48%
Portugal,2016,Female,11.95%
Portugal,2017,Female,12.73%
Portugal,2018,Female,15.09%
Portugal,2019,Female,14.65%
Portugal,2020,Female,14.14%
Portugal,2021,Female,15.99%
Portugal,2022,Female,14.96%
Romania,2011,Female,22.90%
Romania,2012,Female,23.05%
Romania,2013,Female,23.66%
Romania,2014,Female,24.25%
Romania,2015,Female,30.36%
Romania,2016,Female,31.29%
Romania,2017,Female,31.79%
Romania,2018,Female,33.08%
Romania,2019,Female,33.56%
Romania,2020,Female,31.15%
Romania,2021,Female,33.70%
Romania,2022,Female,33.40%
Spain,2011,Female,21.66%
Spain,2012,Female,15.90%
Spain,2013,Female,16.55%
Spain,2014,Female,15.80%
Spain,2015,Female,15.81%
Spain,2016,Female,15.72%
Spain,2017,Female,14.68%
Spain,2018,Female,12.43%
Spain,2019,Female,13.29%
Spain,2020,Female,13.64%
Spain,2021,Female,13.55%
Spain,2022,Female,14.32%
Switzerland,2011,Female,8.10%
Switzerland,2012,Female,9.84%
Switzerland,2013,Female,8.44%
Switzerland,2014,Female,7.80%
Switzerland,2015,Female,9.47%
Switzerland,2016,Female,11.22%
Switzerland,2017,Female,9.54%
Switzerland,2018,Female,10.02%
Switzerland,2019,Female,10.72%
Switzerland,2020,Female,10.35%
Switzerland,2021,Female,13.12%
Switzerland,2022,Female,13.19%
Turkey,2011,Female,31.01%
Turkey,2012,Female,31.70%
Turkey,2013,Female,35.49%
Turkey,2014,Female,38.14%
Turkey,2015,Female,37.61%
Turkey,2016,Female,38.13%
Turkey,2017,Female,37.45%
Turkey,2018,Female,35.44%
Turkey,2019,Female,35.13%
Turkey,2020,Female,32.92%
Turkey,2021,Female,30.31%
Turkey,2022,Female,29.27%
United Kingdom,2011,Female,18.10%
United Kingdom,2012,Female,17.55%
United Kingdom,2013,Female,17.16%
United Kingdom,2014,Female,16.50%
United Kingdom,2015,Female,17.05%
United Kingdom,2016,Female,16.06%
United Kingdom,2017,Female,15.17%
United Kingdom,2018,Female,15.43%
United Kingdom,2019,Female,16.20%
United Kingdom,2020,Female,16.36%
United Kingdom,2021,Female,17.15%
United Kingdom,2022,Female,17.79%
Austria,2011,Male,84.06%
Austria,2012,Male,86.88%
Austria,2013,Male,86.52%
Austria,2014,Male,85.23%
Austria,2015,Male,82.95%
Austria,2016,Male,83.21%
Austria,2017,Male,82.90%
Austria,2018,Male,81.80%
Austria,2019,Male,80.53%
Austria,2020,Male,80.54%
Austria,2021,Male,79.06%
Austria,2022,Male,80.26%
Belgium,2011,Male,92.90%
Belgium,2012,Male,94.71%
Belgium,2013,Male,94.52%
Belgium,2014,Male,94.14%
Belgium,2015,Male,93.54%
