Year,Number of new CS bachelor’s graduates,Ethnicity
2011,22,Native Hawaiian or Pacific Islander
2012,18,Native Hawaiian or Pacific Islander
2013,22,Native Hawaiian or Pacific Islander
2014,21,Native Hawaiian or Pacific Islander
2015,42,Native Hawaiian or Pacific Islander
2016,26,Native Hawaiian or Pacific Islander
2017,45,Native Hawaiian or Pacific Islander
2018,63,Native Hawaiian or Pacific Islander
2019,36,Native Hawaiian or Pacific Islander
2020,28,Native Hawaiian or Pacific Islander
2021,54,Native Hawaiian or Pacific Islander
2022,28,Native Hawaiian or Pacific Islander
2011,39,American Indian or Alaska Native
2012,39,American Indian or Alaska Native
2013,22,American Indian or Alaska Native
2014,35,American Indian or Alaska Native
2015,48,American Indian or Alaska Native
2016,53,American Indian or Alaska Native
2017,42,American Indian or Alaska Native
2018,47,American Indian or Alaska Native
2019,51,American Indian or Alaska Native
2020,46,American Indian or Alaska Native
2021,50,American Indian or Alaska Native
2022,33,American Indian or Alaska Native
2011,274,Black or African American
2012,407,Black or African American
2013,322,Black or African American
2014,315,Black or African American
2015,425,Black or African American
2016,440,Black or African American
2017,547,Black or African American
2018,692,Black or African American
2019,755,Black or African American
2020,843,Black or African American
2021,885,Black or African American
2022,1004,Black or African American
2011,104,Multiracial (not Hispanic)
2012,130,Multiracial (not Hispanic)
2013,141,Multiracial (not Hispanic)
2014,168,Multiracial (not Hispanic)
2015,248,Multiracial (not Hispanic)
2016,409,Multiracial (not Hispanic)
2017,511,Multiracial (not Hispanic)
2018,637,Multiracial (not Hispanic)
2019,715,Multiracial (not Hispanic)
2020,936,Multiracial (not Hispanic)
2021,943,Multiracial (not Hispanic)
2022,1072,Multiracial (not Hispanic)
2011,409,Hispanic (any race)
2012,575,Hispanic (any race)
2013,499,Hispanic (any race)
2014,672,Hispanic (any race)
2015,835,Hispanic (any race)
2016,1069,Hispanic (any race)
2017,1322,Hispanic (any race)
2018,1725,Hispanic (any race)
2019,1800,Hispanic (any race)
2020,2290,Hispanic (any race)
2021,2507,Hispanic (any race)
2022,2708,Hispanic (any race)
2011,1115,Asian
2012,1477,Asian
2013,1545,Asian
2014,2079,Asian
2015,2734,Asian
2016,3625,Asian
2017,4564,Asian
2018,5899,Asian
2019,6128,Asian
2020,7786,Asian
2021,7808,Asian
2022,8795,Asian
2011,5026,White
2012,5793,White
2013,5131,White
2014,5687,White
2015,6589,White
2016,7202,White
2017,8402,White
2018,10117,White
2019,9939,White
2020,11023,White
2021,10725,White
2022,10970,White
