Year,New CS bachelor’s graduates (% of total),Label
2011,0.31%,Native Hawaiian or Pacific Islander
2012,0.21%,Native Hawaiian or Pacific Islander
2013,0.29%,Native Hawaiian or Pacific Islander
2014,0.23%,Native Hawaiian or Pacific Islander
2015,0.38%,Native Hawaiian or Pacific Islander
2016,0.20%,Native Hawaiian or Pacific Islander
2017,0.29%,Native Hawaiian or Pacific Islander
2018,0.33%,Native Hawaiian or Pacific Islander
2019,0.19%,Native Hawaiian or Pacific Islander
2020,0.12%,Native Hawaiian or Pacific Islander
2021,0.24%,Native Hawaiian or Pacific Islander
2022,0.11%,Native Hawaiian or Pacific Islander
2011,0.56%,American Indian or Alaska Native
2012,0.46%,American Indian or Alaska Native
2013,0.29%,American Indian or Alaska Native
2014,0.39%,American Indian or Alaska Native
2015,0.44%,American Indian or Alaska Native
2016,0.41%,American Indian or Alaska Native
2017,0.27%,American Indian or Alaska Native
2018,0.25%,American Indian or Alaska Native
2019,0.26%,American Indian or Alaska Native
2020,0.20%,American Indian or Alaska Native
2021,0.22%,American Indian or Alaska Native
2022,0.13%,American Indian or Alaska Native
2011,3.92%,Black or African American
2012,4.82%,Black or African American
2013,4.19%,Black or African American
2014,3.51%,Black or African American
2015,3.89%,Black or African American
2016,3.43%,Black or African American
2017,3.54%,Black or African American
2018,3.61%,Black or African American
2019,3.89%,Black or African American
2020,3.67%,Black or African American
2021,3.85%,Black or African American
2022,4.08%,Black or African American
2011,1.49%,Multiracial (not Hispanic)
2012,1.54%,Multiracial (not Hispanic)
2013,1.84%,Multiracial (not Hispanic)
2014,1.87%,Multiracial (not Hispanic)
2015,2.27%,Multiracial (not Hispanic)
2016,3.19%,Multiracial (not Hispanic)
2017,3.31%,Multiracial (not Hispanic)
2018,3.32%,Multiracial (not Hispanic)
2019,3.68%,Multiracial (not Hispanic)
2020,4.08%,Multiracial (not Hispanic)
2021,4.10%,Multiracial (not Hispanic)
2022,4.36%,Multiracial (not Hispanic)
2011,5.85%,Hispanic (any race)
2012,6.81%,Hispanic (any race)
2013,6.50%,Hispanic (any race)
2014,7.49%,Hispanic (any race)
2015,7.65%,Hispanic (any race)
2016,8.34%,Hispanic (any race)
2017,8.57%,Hispanic (any race)
2018,8.99%,Hispanic (any race)
2019,9.27%,Hispanic (any race)
2020,9.98%,Hispanic (any race)
2021,10.91%,Hispanic (any race)
2022,11.00%,Hispanic (any race)
2011,15.95%,Asian
2012,17.50%,Asian
2013,20.11%,Asian
2014,23.16%,Asian
2015,25.03%,Asian
2016,28.27%,Asian
2017,29.57%,Asian
2018,30.76%,Asian
2019,31.55%,Asian
2020,33.92%,Asian
2021,33.99%,Asian
2022,35.74%,Asian
2011,71.91%,White
2012,68.65%,White
2013,66.79%,White
2014,63.35%,White
2015,60.33%,White
2016,56.16%,White
2017,54.44%,White
2018,52.75%,White
2019,51.17%,White
2020,48.03%,White
2021,46.69%,White
2022,44.58%,White
