Year,New CS master’s graduates (% of total),Gender
2020,0.01%,Nonbinary/Other
2021,0.90%,Nonbinary/Other
2022,0.08%,Nonbinary/Other
2011,24.62%,Female
2012,22.55%,Female
2013,21.24%,Female
2014,22.02%,Female
2015,24.86%,Female
2016,25.24%,Female
2017,26.09%,Female
2018,26.52%,Female
2019,27.20%,Female
2020,26.62%,Female
2021,27.83%,Female
2022,26.26%,Female
2011,75.38%,Male
2012,77.45%,Male
2013,78.76%,Male
2014,77.98%,Male
2015,75.14%,Male
2016,74.76%,Male
2017,73.91%,Male
2018,73.48%,Male
2019,72.80%,Male
2020,73.36%,Male
2021,71.27%,Male
2022,73.65%,Male
