Year,Number of new CS master’s graduates,Ethnicity
2011,19,Native Hawaiian or Pacific Islander
2012,9,Native Hawaiian or Pacific Islander
2013,4,Native Hawaiian or Pacific Islander
2014,1,Native Hawaiian or Pacific Islander
2015,3,Native Hawaiian or Pacific Islander
2016,8,Native Hawaiian or Pacific Islander
2017,3,Native Hawaiian or Pacific Islander
2018,2,Native Hawaiian or Pacific Islander
2019,6,Native Hawaiian or Pacific Islander
2020,4,Native Hawaiian or Pacific Islander
2021,6,Native Hawaiian or Pacific Islander
2022,8,Native Hawaiian or Pacific Islander
2011,12,American Indian or Alaska Native
2012,10,American Indian or Alaska Native
2013,9,American Indian or Alaska Native
2014,7,American Indian or Alaska Native
2015,48,American Indian or Alaska Native
2016,14,American Indian or Alaska Native
2017,23,American Indian or Alaska Native
2018,7,American Indian or Alaska Native
2019,6,American Indian or Alaska Native
2020,32,American Indian or Alaska Native
2021,12,American Indian or Alaska Native
2022,22,American Indian or Alaska Native
2011,8,Multiracial (not Hispanic)
2012,22,Multiracial (not Hispanic)
2013,54,Multiracial (not Hispanic)
2014,31,Multiracial (not Hispanic)
2015,53,Multiracial (not Hispanic)
2016,48,Multiracial (not Hispanic)
2017,62,Multiracial (not Hispanic)
2018,72,Multiracial (not Hispanic)
2019,86,Multiracial (not Hispanic)
2020,130,Multiracial (not Hispanic)
2021,166,Multiracial (not Hispanic)
2022,222,Multiracial (not Hispanic)
2011,96,Black or African American
2012,123,Black or African American
2013,65,Black or African American
2014,86,Black or African American
2015,110,Black or African American
2016,78,Black or African American
2017,111,Black or African American
2018,112,Black or African American
2019,155,Black or African American
2020,157,Black or African American
2021,184,Black or African American
2022,269,Black or African American
2011,119,Hispanic (any race)
2012,123,Hispanic (any race)
2013,78,Hispanic (any race)
2014,123,Hispanic (any race)
2015,141,Hispanic (any race)
2016,126,Hispanic (any race)
2017,173,Hispanic (any race)
2018,239,Hispanic (any race)
2019,276,Hispanic (any race)
2020,385,Hispanic (any race)
2021,349,Hispanic (any race)
2022,522,Hispanic (any race)
2011,753,Asian
2012,484,Asian
2013,556,Asian
2014,500,Asian
2015,958,Asian
2016,731,Asian
2017,921,Asian
2018,1199,Asian
2019,1547,Asian
2020,1618,Asian
2021,1677,Asian
2022,2278,Asian
2011,1533,White
2012,1725,White
2013,1521,White
2014,1507,White
2015,1534,White
2016,1536,White
2017,1842,White
2018,1949,White
2019,2032,White
2020,2279,White
2021,2421,White
2022,3050,White
