Year,New CS master’s graduates (% of total),Ethnicity
2011,0.75%,Native Hawaiian or Pacific Islander
2012,0.36%,Native Hawaiian or Pacific Islander
2013,0.17%,Native Hawaiian or Pacific Islander
2014,0.04%,Native Hawaiian or Pacific Islander
2015,0.11%,Native Hawaiian or Pacific Islander
2016,0.31%,Native Hawaiian or Pacific Islander
2017,0.10%,Native Hawaiian or Pacific Islander
2018,0.06%,Native Hawaiian or Pacific Islander
2019,0.15%,Native Hawaiian or Pacific Islander
2020,0.09%,Native Hawaiian or Pacific Islander
2021,0.12%,Native Hawaiian or Pacific Islander
2022,0.13%,Native Hawaiian or Pacific Islander
2011,0.47%,American Indian or Alaska Native
2012,0.40%,American Indian or Alaska Native
2013,0.39%,American Indian or Alaska Native
2014,0.31%,American Indian or Alaska Native
2015,1.69%,American Indian or Alaska Native
2016,0.55%,American Indian or Alaska Native
2017,0.73%,American Indian or Alaska Native
2018,0.20%,American Indian or Alaska Native
2019,0.15%,American Indian or Alaska Native
2020,0.69%,American Indian or Alaska Native
2021,0.25%,American Indian or Alaska Native
2022,0.35%,American Indian or Alaska Native
2011,0.31%,Multiracial (not Hispanic)
2012,0.88%,Multiracial (not Hispanic)
2013,2.36%,Multiracial (not Hispanic)
2014,1.37%,Multiracial (not Hispanic)
2015,1.86%,Multiracial (not Hispanic)
2016,1.89%,Multiracial (not Hispanic)
2017,1.98%,Multiracial (not Hispanic)
2018,2.01%,Multiracial (not Hispanic)
2019,2.09%,Multiracial (not Hispanic)
2020,2.82%,Multiracial (not Hispanic)
2021,3.45%,Multiracial (not Hispanic)
2022,3.48%,Multiracial (not Hispanic)
2011,3.78%,Black or African American
2012,4.93%,Black or African American
2013,2.84%,Black or African American
2014,3.81%,Black or African American
2015,3.86%,Black or African American
2016,3.07%,Black or African American
2017,3.54%,Black or African American
2018,3.13%,Black or African American
2019,3.77%,Black or African American
2020,3.41%,Black or African American
2021,3.82%,Black or African American
2022,4.22%,Black or African American
2011,4.69%,Hispanic (any race)
2012,4.93%,Hispanic (any race)
2013,3.41%,Hispanic (any race)
2014,5.45%,Hispanic (any race)
2015,4.95%,Hispanic (any race)
2016,4.96%,Hispanic (any race)
2017,5.52%,Hispanic (any race)
2018,6.68%,Hispanic (any race)
2019,6.72%,Hispanic (any race)
2020,8.36%,Hispanic (any race)
2021,7.25%,Hispanic (any race)
2022,8.19%,Hispanic (any race)
2011,29.65%,Asian
2012,19.39%,Asian
2013,24.31%,Asian
2014,22.17%,Asian
2015,33.65%,Asian
2016,28.77%,Asian
2017,29.38%,Asian
2018,33.49%,Asian
2019,37.66%,Asian
2020,35.14%,Asian
2021,34.83%,Asian
2022,35.76%,Asian
2011,60.35%,White
2012,69.11%,White
2013,66.51%,White
2014,66.83%,White
2015,53.88%,White
2016,60.45%,White
2017,58.76%,White
2018,54.44%,White
2019,49.46%,White
2020,49.49%,White
2021,50.28%,White
2022,47.87%,White
