Year,New CS PhD graduates (% of total),Gender
2020,0.00%,Nonbinary/Other
2021,0.12%,Nonbinary/Other
2022,0.12%,Nonbinary/Other
2010,18.80%,Female
2011,18.40%,Female
2012,17.80%,Female
2013,17.20%,Female
2014,17.60%,Female
2015,18.30%,Female
2016,17.10%,Female
2017,18.30%,Female
2018,19.30%,Female
2019,20.30%,Female
2020,19.90%,Female
2021,23.30%,Female
2022,22.10%,Female
2010,81.20%,Male
2011,81.60%,Male
2012,82.20%,Male
2013,82.80%,Male
2014,82.40%,Male
2015,81.70%,Male
2016,82.90%,Male
2017,81.70%,Male
2018,80.70%,Male
2019,79.70%,Male
2020,80.10%,Male
2021,76.58%,Male
2022,77.78%,Male
