Year,Number of new CS PhD graduates,Ethnicity
2011,4,Native Hawaiian or Pacific Islander
2012,5,Native Hawaiian or Pacific Islander
2013,3,Native Hawaiian or Pacific Islander
2014,3,Native Hawaiian or Pacific Islander
2015,6,Native Hawaiian or Pacific Islander
2016,5,Native Hawaiian or Pacific Islander
2017,1,Native Hawaiian or Pacific Islander
2018,0,Native Hawaiian or Pacific Islander
2019,1,Native Hawaiian or Pacific Islander
2020,1,Native Hawaiian or Pacific Islander
2021,2,Native Hawaiian or Pacific Islander
2022,1,Native Hawaiian or Pacific Islander
2011,2,American Indian or Alaska Native
2012,1,American Indian or Alaska Native
2013,3,American Indian or Alaska Native
2014,2,American Indian or Alaska Native
2015,2,American Indian or Alaska Native
2016,1,American Indian or Alaska Native
2017,0,American Indian or Alaska Native
2018,2,American Indian or Alaska Native
2019,2,American Indian or Alaska Native
2020,1,American Indian or Alaska Native
2021,3,American Indian or Alaska Native
2022,2,American Indian or Alaska Native
2011,3,Multiracial (not Hispanic)
2012,5,Multiracial (not Hispanic)
2013,2,Multiracial (not Hispanic)
2014,5,Multiracial (not Hispanic)
2015,11,Multiracial (not Hispanic)
2016,2,Multiracial (not Hispanic)
2017,4,Multiracial (not Hispanic)
2018,7,Multiracial (not Hispanic)
2019,9,Multiracial (not Hispanic)
2020,12,Multiracial (not Hispanic)
2021,10,Multiracial (not Hispanic)
2022,7,Multiracial (not Hispanic)
2011,22,Hispanic (any race)
2012,22,Hispanic (any race)
2013,20,Hispanic (any race)
2014,13,Hispanic (any race)
2015,25,Hispanic (any race)
2016,15,Hispanic (any race)
2017,24,Hispanic (any race)
2018,25,Hispanic (any race)
2019,21,Hispanic (any race)
2020,26,Hispanic (any race)
2021,24,Hispanic (any race)
2022,26,Hispanic (any race)
2011,16,Black or African American
2012,27,Black or African American
2013,22,Black or African American
2014,17,Black or African American
2015,15,Black or African American
2016,17,Black or African American
2017,10,Black or African American
2018,19,Black or African American
2019,13,Black or African American
2020,19,Black or African American
2021,19,Black or African American
2022,28,Black or African American
2011,171,Asian
2012,168,Asian
2013,136,Asian
2014,123,Asian
2015,92,Asian
2016,116,Asian
2017,130,Asian
2018,81,Asian
2019,151,Asian
2020,146,Asian
2021,136,Asian
2022,164,Asian
2011,465,White
2012,496,White
2013,406,White
2014,441,White
2015,416,White
2016,407,White
2017,371,White
2018,365,White
2019,365,White
2020,347,White
2021,275,White
2022,327,White
