Year,New CS PhD graduates (% of total),Ethnicity
2011,0.59%,Native Hawaiian or Pacific Islander
2012,0.69%,Native Hawaiian or Pacific Islander
2013,0.51%,Native Hawaiian or Pacific Islander
2014,0.50%,Native Hawaiian or Pacific Islander
2015,1.06%,Native Hawaiian or Pacific Islander
2016,0.89%,Native Hawaiian or Pacific Islander
2017,0.19%,Native Hawaiian or Pacific Islander
2018,0.00%,Native Hawaiian or Pacific Islander
2019,0.18%,Native Hawaiian or Pacific Islander
2020,0.18%,Native Hawaiian or Pacific Islander
2021,0.43%,Native Hawaiian or Pacific Islander
2022,0.18%,Native Hawaiian or Pacific Islander
2011,0.29%,American Indian or Alaska Native
2012,0.14%,American Indian or Alaska Native
2013,0.51%,American Indian or Alaska Native
2014,0.33%,American Indian or Alaska Native
2015,0.35%,American Indian or Alaska Native
2016,0.18%,American Indian or Alaska Native
2017,0.00%,American Indian or Alaska Native
2018,0.40%,American Indian or Alaska Native
2019,0.36%,American Indian or Alaska Native
2020,0.18%,American Indian or Alaska Native
2021,0.64%,American Indian or Alaska Native
2022,0.36%,American Indian or Alaska Native
2011,0.44%,Multiracial (not Hispanic)
2012,0.69%,Multiracial (not Hispanic)
2013,0.34%,Multiracial (not Hispanic)
2014,0.83%,Multiracial (not Hispanic)
2015,1.94%,Multiracial (not Hispanic)
2016,0.36%,Multiracial (not Hispanic)
2017,0.74%,Multiracial (not Hispanic)
2018,1.40%,Multiracial (not Hispanic)
2019,1.60%,Multiracial (not Hispanic)
2020,2.17%,Multiracial (not Hispanic)
2021,2.13%,Multiracial (not Hispanic)
2022,1.26%,Multiracial (not Hispanic)
2011,3.22%,Hispanic (any race)
2012,3.04%,Hispanic (any race)
2013,3.38%,Hispanic (any race)
2014,2.15%,Hispanic (any race)
2015,4.41%,Hispanic (any race)
2016,2.66%,Hispanic (any race)
2017,4.44%,Hispanic (any race)
2018,5.01%,Hispanic (any race)
2019,3.74%,Hispanic (any race)
2020,4.71%,Hispanic (any race)
2021,5.12%,Hispanic (any race)
2022,4.68%,Hispanic (any race)
2011,2.34%,Black or African American
2012,3.73%,Black or African American
2013,3.72%,Black or African American
2014,2.81%,Black or African American
2015,2.65%,Black or African American
2016,3.02%,Black or African American
2017,1.85%,Black or African American
2018,3.81%,Black or African American
2019,2.31%,Black or African American
2020,3.44%,Black or African American
2021,4.05%,Black or African American
2022,5.05%,Black or African American
2011,25.04%,Asian
2012,23.20%,Asian
2013,22.97%,Asian
2014,20.36%,Asian
2015,16.23%,Asian
2016,20.60%,Asian
2017,24.07%,Asian
2018,16.23%,Asian
2019,26.87%,Asian
2020,26.45%,Asian
2021,29.00%,Asian
2022,29.55%,Asian
2011,68.08%,White
2012,68.51%,White
2013,68.58%,White
2014,73.01%,White
2015,73.37%,White
2016,72.29%,White
2017,68.70%,White
2018,73.15%,White
2019,64.95%,White
2020,62.86%,White
2021,58.64%,White
2022,58.92%,White
