Year,AP computer science exams taken (% of total),Label
2020,0.16%,Other
2021,0.26%,Other
2022,0.67%,Other
2007,16.79%,Female
2008,17.17%,Female
2009,17.79%,Female
2010,19.22%,Female
2011,18.92%,Female
2012,18.70%,Female
2013,18.56%,Female
2014,19.98%,Female
2015,21.88%,Female
2016,23.25%,Female
2017,26.37%,Female
2018,28.04%,Female
2019,29.39%,Female
2020,30.65%,Female
2021,30.58%,Female
2022,30.46%,Female
2007,83.21%,Male
2008,82.83%,Male
2009,82.21%,Male
2010,80.78%,Male
2011,81.08%,Male
2012,81.30%,Male
2013,81.44%,Male
2014,80.02%,Male
2015,78.12%,Male
2016,76.75%,Male
2017,73.63%,Male
2018,71.96%,Male
2019,70.61%,Male
2020,69.20%,Male
2021,69.16%,Male
2022,68.87%,Male
