Opinion on products and services using AI,Year,% of respondents that “agree”
I have a good understanding of what artificial intelligence is,2023,67%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,2023,66%
Products and services using artificial intelligence have more benefits than drawbacks,2023,54%
I know which types of products and services use artificial intelligence,2023,51%
I trust companies that use artificial intelligence as much as I trust other companies,2023,52%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,2023,49%
Products and services using artificial intelligence make me nervous,2023,52%
I trust artificial intelligence to not discriminate or show bias towards any group of people,2023,56%
I trust that companies that use artificial intelligence will protect my personal data,2023,50%
I have a good understanding of what artificial intelligence is,2022,64%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,2022,60%
Products and services using artificial intelligence have more benefits than drawbacks,2022,52%
I know which types of products and services use artificial intelligence,2022,50%
I trust companies that use artificial intelligence as much as I trust other companies,2022,50%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,2022,49%
Products and services using artificial intelligence make me nervous,2022,39%
