Country,Concern,% of respondents
Global,Misuse/use for nefarious purposes,48.9%
Argentina,Misuse/use for nefarious purposes,62.6%
Australia,Misuse/use for nefarious purposes,45.1%
Brazil,Misuse/use for nefarious purposes,46.1%
Canada,Misuse/use for nefarious purposes,51.9%
Chile,Misuse/use for nefarious purposes,56.5%
China,Misuse/use for nefarious purposes,38.8%
France,Misuse/use for nefarious purposes,44.3%
Germany,Misuse/use for nefarious purposes,56.7%
India,Misuse/use for nefarious purposes,34.0%
Indonesia,Misuse/use for nefarious purposes,65.9%
Italy,Misuse/use for nefarious purposes,47.0%
Japan,Misuse/use for nefarious purposes,52.0%
Kenya,Misuse/use for nefarious purposes,33.8%
Mexico,Misuse/use for nefarious purposes,51.7%
Pakistan,Misuse/use for nefarious purposes,31.4%
Poland,Misuse/use for nefarious purposes,50.7%
Portugal,Misuse/use for nefarious purposes,61.7%
South Africa,Misuse/use for nefarious purposes,46.6%
Spain,Misuse/use for nefarious purposes,57.8%
United Kingdom,Misuse/use for nefarious purposes,48.2%
United States,Misuse/use for nefarious purposes,42.8%
Global,Impact of AI on jobs,48.8%
Argentina,Impact of AI on jobs,52.7%
Australia,Impact of AI on jobs,45.3%
Brazil,Impact of AI on jobs,46.8%
Canada,Impact of AI on jobs,48.8%
Chile,Impact of AI on jobs,58.4%
China,Impact of AI on jobs,39.3%
France,Impact of AI on jobs,43.0%
Germany,Impact of AI on jobs,42.2%
India,Impact of AI on jobs,48.4%
Indonesia,Impact of AI on jobs,59.1%
Italy,Impact of AI on jobs,40.2%
Japan,Impact of AI on jobs,36.0%
Kenya,Impact of AI on jobs,53.5%
Mexico,Impact of AI on jobs,53.5%
Pakistan,Impact of AI on jobs,50.7%
Poland,Impact of AI on jobs,37.3%
Portugal,Impact of AI on jobs,57.3%
South Africa,Impact of AI on jobs,68.4%
Spain,Impact of AI on jobs,49.3%
United Kingdom,Impact of AI on jobs,49.3%
United States,Impact of AI on jobs,42.7%
Global,Violation of citizens’ privacy,44.5%
Argentina,Violation of citizens’ privacy,53.2%
Australia,Violation of citizens’ privacy,44.6%
Brazil,Violation of citizens’ privacy,46.0%
Canada,Violation of citizens’ privacy,48.0%
Chile,Violation of citizens’ privacy,57.5%
China,Violation of citizens’ privacy,39.4%
France,Violation of citizens’ privacy,43.0%
Germany,Violation of citizens’ privacy,43.9%
India,Violation of citizens’ privacy,35.3%
Indonesia,Violation of citizens’ privacy,45.7%
Italy,Violation of citizens’ privacy,39.8%
Japan,Violation of citizens’ privacy,33.3%
Kenya,Violation of citizens’ privacy,34.4%
Mexico,Violation of citizens’ privacy,42.6%
Pakistan,Violation of citizens’ privacy,31.1%
Poland,Violation of citizens’ privacy,49.2%
Portugal,Violation of citizens’ privacy,56.7%
South Africa,Violation of citizens’ privacy,55.0%
Spain,Violation of citizens’ privacy,52.7%
United Kingdom,Violation of citizens’ privacy,40.4%
United States,Violation of citizens’ privacy,42.5%
Global,Dehumanization of services,40.9%
Argentina,Dehumanization of services,52.1%
Australia,Dehumanization of services,43.4%
Brazil,Dehumanization of services,43.8%
Canada,Dehumanization of services,48.5%
Chile,Dehumanization of services,54.1%
China,Dehumanization of services,21.8%
France,Dehumanization of services,50.6%
Germany,Dehumanization of services,39.5%
India,Dehumanization of services,27.7%
Indonesia,Dehumanization of services,27.6%
Italy,Dehumanization of services,41.6%
Japan,Dehumanization of services,37.5%
Kenya,Dehumanization of services,37.3%
Mexico,Dehumanization of services,47.4%
Pakistan,Dehumanization of services,20.9%
Poland,Dehumanization of services,26.7%
Portugal,Dehumanization of services,59.3%
South Africa,Dehumanization of services,49.1%
Spain,Dehumanization of services,54.3%
United Kingdom,Dehumanization of services,44.3%
United States,Dehumanization of services,39.4%
Global,Lack of transparency in decision-making,34.4%
Argentina,Lack of transparency in decision-making,35.1%
Australia,Lack of transparency in decision-making,41.7%
Brazil,Lack of transparency in decision-making,34.8%
Canada,Lack of transparency in decision-making,38.0%
Chile,Lack of transparency in decision-making,34.9%
China,Lack of transparency in decision-making,27.3%
France,Lack of transparency in decision-making,30.4%
Germany,Lack of transparency in decision-making,33.0%
India,Lack of transparency in decision-making,36.3%
Indonesia,Lack of transparency in decision-making,35.6%
Italy,Lack of transparency in decision-making,31.4%
Japan,Lack of transparency in decision-making,24.2%
Kenya,Lack of transparency in decision-making,36.0%
Mexico,Lack of transparency in decision-making,32.5%
Pakistan,Lack of transparency in decision-making,28.5%
Poland,Lack of transparency in decision-making,32.2%
Portugal,Lack of transparency in decision-making,41.0%
South Africa,Lack of transparency in decision-making,46.9%
Spain,Lack of transparency in decision-making,35.3%
United Kingdom,Lack of transparency in decision-making,34.9%
United States,Lack of transparency in decision-making,32.4%
Global,Impact of AI on education,32.6%
Argentina,Impact of AI on education,32.3%
Australia,Impact of AI on education,27.7%
Brazil,Impact of AI on education,32.7%
Canada,Impact of AI on education,34.4%
Chile,Impact of AI on education,33.2%
China,Impact of AI on education,25.6%
France,Impact of AI on education,28.5%
Germany,Impact of AI on education,27.4%
India,Impact of AI on education,41.1%
Indonesia,Impact of AI on education,35.2%
Italy,Impact of AI on education,23.6%
Japan,Impact of AI on education,25.2%
Kenya,Impact of AI on education,47.0%
Mexico,Impact of AI on education,29.9%
Pakistan,Impact of AI on education,43.2%
Poland,Impact of AI on education,28.3%
Portugal,Impact of AI on education,36.9%
South Africa,Impact of AI on education,42.7%
Spain,Impact of AI on education,32.6%
United Kingdom,Impact of AI on education,27.2%
United States,Impact of AI on education,27.1%
Global,Ethical implications,30.3%
Argentina,Ethical implications,32.3%
Australia,Ethical implications,38.4%
Brazil,Ethical implications,28.3%
Canada,Ethical implications,37.4%
Chile,Ethical implications,34.2%
China,Ethical implications,24.7%
France,Ethical implications,22.2%
Germany,Ethical implications,27.4%
India,Ethical implications,31.6%
Indonesia,Ethical implications,23.4%
Italy,Ethical implications,25.4%
Japan,Ethical implications,24.0%
Kenya,Ethical implications,33.4%
Mexico,Ethical implications,28.8%
Pakistan,Ethical implications,23.2%
Poland,Ethical implications,24.6%
Portugal,Ethical implications,37.2%
South Africa,Ethical implications,29.7%
Spain,Ethical implications,34.0%
United Kingdom,Ethical implications,34.7%
United States,Ethical implications,31.8%
Global,Accuracy of results and analysis,28.0%
Argentina,Accuracy of results and analysis,22.9%
Australia,Accuracy of results and analysis,38.4%
Brazil,Accuracy of results and analysis,18.2%
Canada,Accuracy of results and analysis,31.5%
Chile,Accuracy of results and analysis,23.8%
China,Accuracy of results and analysis,23.8%
France,Accuracy of results and analysis,22.7%
Germany,Accuracy of results and analysis,23.9%
India,Accuracy of results and analysis,38.9%
Indonesia,Accuracy of results and analysis,30.4%
Italy,Accuracy of results and analysis,20.4%
Japan,Accuracy of results and analysis,28.7%
Kenya,Accuracy of results and analysis,42.8%
Mexico,Accuracy of results and analysis,24.8%
Pakistan,Accuracy of results and analysis,34.4%
Poland,Accuracy of results and analysis,20.2%
Portugal,Accuracy of results and analysis,22.4%
South Africa,Accuracy of results and analysis,38.3%
Spain,Accuracy of results and analysis,20.1%
United Kingdom,Accuracy of results and analysis,31.4%
United States,Accuracy of results and analysis,30.3%
Global,Uneven access to AI,25.6%
Argentina,Uneven access to AI,35.2%
Australia,Uneven access to AI,20.9%
Brazil,Uneven access to AI,35.1%
Canada,Uneven access to AI,24.0%
Chile,Uneven access to AI,31.8%
China,Uneven access to AI,23.2%
France,Uneven access to AI,22.5%
Germany,Uneven access to AI,22.7%
India,Uneven access to AI,28.7%
Indonesia,Uneven access to AI,29.3%
Italy,Uneven access to AI,19.1%
Japan,Uneven access to AI,27.4%
Kenya,Uneven access to AI,21.5%
Mexico,Uneven access to AI,29.7%
Pakistan,Uneven access to AI,19.4%
Poland,Uneven access to AI,20.2%
Portugal,Uneven access to AI,31.6%
South Africa,Uneven access to AI,28.5%
Spain,Uneven access to AI,28.0%
United Kingdom,Uneven access to AI,18.3%
United States,Uneven access to AI,19.4%
Global,Potential for bias and discrimination,24.3%
Argentina,Potential for bias and discrimination,20.2%
Australia,Potential for bias and discrimination,33.7%
Brazil,Potential for bias and discrimination,25.8%
Canada,Potential for bias and discrimination,30.1%
Chile,Potential for bias and discrimination,23.4%
China,Potential for bias and discrimination,19.9%
France,Potential for bias and discrimination,17.4%
Germany,Potential for bias and discrimination,21.8%
India,Potential for bias and discrimination,29.4%
Indonesia,Potential for bias and discrimination,32.7%
Italy,Potential for bias and discrimination,17.6%
Japan,Potential for bias and discrimination,18.1%
Kenya,Potential for bias and discrimination,27.5%
Mexico,Potential for bias and discrimination,22.9%
Pakistan,Potential for bias and discrimination,18.0%
Poland,Potential for bias and discrimination,16.2%
Portugal,Potential for bias and discrimination,26.9%
South Africa,Potential for bias and discrimination,28.9%
Spain,Potential for bias and discrimination,23.7%
United Kingdom,Potential for bias and discrimination,32.1%
United States,Potential for bias and discrimination,26.4%
Global,My own ability to use AI,22.1%
Argentina,My own ability to use AI,21.7%
Australia,My own ability to use AI,18.4%
Brazil,My own ability to use AI,20.2%
Canada,My own ability to use AI,17.9%
Chile,My own ability to use AI,23.5%
China,My own ability to use AI,17.9%
France,My own ability to use AI,18.9%
Germany,My own ability to use AI,15.8%
India,My own ability to use AI,36.1%
Indonesia,My own ability to use AI,29.8%
Italy,My own ability to use AI,16.6%
Japan,My own ability to use AI,15.5%
Kenya,My own ability to use AI,33.3%
Mexico,My own ability to use AI,26.5%
Pakistan,My own ability to use AI,30.9%
Poland,My own ability to use AI,13.9%
Portugal,My own ability to use AI,22.0%
South Africa,My own ability to use AI,28.8%
Spain,My own ability to use AI,17.9%
United Kingdom,My own ability to use AI,18.5%
United States,My own ability to use AI,19.1%
