Americans’ opinion whether AI helps or hurts,% of respondents
People keeping their personal information private,10%
Police maintaining public safety,24%
Companies providing quality customer service,28%
People taking care of their health,33%
People finding accurate information online,33%
Companies making safe cars and trucks,37%
Doctors providing quality care to patients,37%
"People finding products, services they are interested in online",49%
"People finding products, services they are interested in online",35%
People keeping their personal information private,37%
Companies making safe cars and trucks,44%
Doctors providing quality care to patients,42%
People taking care of their health,47%
People finding accurate information online,40%
Companies providing quality customer service,37%
Police maintaining public safety,49%
"People finding products, services they are interested in online",15%
People keeping their personal information private,53%
Companies making safe cars and trucks,19%
Doctors providing quality care to patients,20%
People taking care of their health,19%
People finding accurate information online,27%
Companies providing quality customer service,34%
Police maintaining public safety,26%
