Area,Degree level,Response,% of respondents
People finding products and services they are interested in online,College degree+,Help,60%
People finding products and services they are interested in online,College degree+,Not sure,27%
People finding products and services they are interested in online,College degree+,Hurt,12%
People finding products and services they are interested in online,Some college or less,Help,44%
People finding products and services they are interested in online,Some college or less,Not sure,39%
People finding products and services they are interested in online,Some college or less,Hurt,17%
People keeping their personal information private,College degree+,Help,8%
People keeping their personal information private,College degree+,Not sure,32%
People keeping their personal information private,College degree+,Hurt,59%
People keeping their personal information private,Some college or less,Help,10%
People keeping their personal information private,Some college or less,Not sure,39%
People keeping their personal information private,Some college or less,Hurt,50%
Companies making safe cars and trucks,College degree+,Help,45%
Companies making safe cars and trucks,College degree+,Not sure,40%
Companies making safe cars and trucks,College degree+,Hurt,15%
Companies making safe cars and trucks,Some college or less,Help,33%
Companies making safe cars and trucks,Some college or less,Not sure,46%
Companies making safe cars and trucks,Some college or less,Hurt,20%
Doctors providing quality care to patients,College degree+,Help,46%
Doctors providing quality care to patients,College degree+,Not sure,38%
Doctors providing quality care to patients,College degree+,Hurt,16%
Doctors providing quality care to patients,Some college or less,Help,32%
Doctors providing quality care to patients,Some college or less,Not sure,44%
Doctors providing quality care to patients,Some college or less,Hurt,23%
People taking care of their health,College degree+,Help,41%
People taking care of their health,College degree+,Not sure,42%
People taking care of their health,College degree+,Hurt,16%
People taking care of their health,Some college or less,Help,29%
People taking care of their health,Some college or less,Not sure,50%
People taking care of their health,Some college or less,Hurt,20%
People finding accurate information online,College degree+,Help,36%
People finding accurate information online,College degree+,Not sure,36%
People finding accurate information online,College degree+,Hurt,28%
People finding accurate information online,Some college or less,Help,31%
People finding accurate information online,Some college or less,Not sure,42%
People finding accurate information online,Some college or less,Hurt,26%
Companies providing quality customer service,College degree+,Help,34%
Companies providing quality customer service,College degree+,Not sure,33%
Companies providing quality customer service,College degree+,Hurt,33%
Companies providing quality customer service,Some college or less,Help,25%
Companies providing quality customer service,Some college or less,Not sure,39%
Companies providing quality customer service,Some college or less,Hurt,35%
Police maintaining public safety,College degree+,Help,27%
Police maintaining public safety,College degree+,Not sure,49%
Police maintaining public safety,College degree+,Hurt,24%
Police maintaining public safety,Some college or less,Help,23%
Police maintaining public safety,Some college or less,Not sure,49%
Police maintaining public safety,Some college or less,Hurt,27%
