Country,Year,% of respondents that “agree”
Indonesia,2023,78%
Thailand,2023,74%
Mexico,2023,73%
Malaysia,2023,69%
Peru,2023,67%
Turkey,2023,67%
South Korea,2023,66%
India,2023,65%
Colombia,2023,65%
Singapore,2023,64%
Brazil,2023,64%
Romania,2023,61%
South Africa,2023,59%
Chile,2023,59%
Argentina,2023,57%
Italy,2023,55%
Japan,2023,52%
Spain,2023,50%
Hungary,2023,48%
Poland,2023,47%
Great Britain,2023,46%
New Zealand,2023,44%
Netherlands,2023,43%
Germany,2023,42%
Ireland,2023,40%
Australia,2023,40%
Sweden,2023,39%
Belgium,2023,39%
Canada,2023,38%
United States,2023,37%
France,2023,37%
India,2022,71%
Peru,2022,70%
Mexico,2022,65%
Malaysia,2022,65%
Colombia,2022,64%
Chile,2022,63%
South Korea,2022,62%
Turkey,2022,60%
Brazil,2022,57%
South Africa,2022,57%
Argentina,2022,55%
Spain,2022,53%
Italy,2022,50%
Hungary,2022,49%
Poland,2022,48%
Japan,2022,42%
Sweden,2022,40%
Belgium,2022,38%
Great Britain,2022,38%
Australia,2022,37%
Germany,2022,37%
United States,2022,35%
Netherlands,2022,33%
Canada,2022,32%
France,2022,31%
