Statement,Country,% agreeing with statement
I have a good understanding of what artificial intelligence is,Argentina,67%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Argentina,64%
I trust artificial intelligence to not discriminate or show bias towards any group of people,Argentina,61%
Products and services using artificial intelligence have more benefits than drawbacks,Argentina,57%
Products and services using artificial intelligence make me excited,Argentina,46%
I trust companies that use artificial intelligence as much as I trust other companies,Argentina,52%
Products and services using artificial intelligence make me nervous,Argentina,46%
I know which types of products and services use artificial intelligence,Argentina,44%
I trust that companies that use artificial intelligence will protect my personal data,Argentina,45%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Argentina,45%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Australia,40%
I trust that companies that use artificial intelligence will protect my personal data,Australia,38%
I know which types of products and services use artificial intelligence,Australia,38%
I trust companies that use artificial intelligence as much as I trust other companies,Australia,42%
Products and services using artificial intelligence make me nervous,Australia,69%
Products and services using artificial intelligence have more benefits than drawbacks,Australia,40%
I trust artificial intelligence to not discriminate or show bias towards any group of people,Australia,44%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Australia,62%
I have a good understanding of what artificial intelligence is,Australia,59%
Products and services using artificial intelligence make me excited,Australia,40%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Belgium,31%
I trust that companies that use artificial intelligence will protect my personal data,Belgium,41%
I know which types of products and services use artificial intelligence,Belgium,35%
Products and services using artificial intelligence make me nervous,Belgium,50%
I trust companies that use artificial intelligence as much as I trust other companies,Belgium,39%
Products and services using artificial intelligence make me excited,Belgium,35%
I trust artificial intelligence to not discriminate or show bias towards any group of people,Belgium,41%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Belgium,52%
I have a good understanding of what artificial intelligence is,Belgium,56%
Products and services using artificial intelligence have more benefits than drawbacks,Belgium,39%
I know which types of products and services use artificial intelligence,Brazil,62%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Brazil,63%
I trust that companies that use artificial intelligence will protect my personal data,Brazil,56%
I trust companies that use artificial intelligence as much as I trust other companies,Brazil,60%
Products and services using artificial intelligence make me nervous,Brazil,51%
Products and services using artificial intelligence have more benefits than drawbacks,Brazil,64%
I have a good understanding of what artificial intelligence is,Brazil,74%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Brazil,70%
Products and services using artificial intelligence make me excited,Brazil,66%
