Statement,Country,% point change 2022�23
I have a good understanding of what artificial intelligence is,Argentina,3%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Argentina,4%
Products and services using artificial intelligence have more benefits than drawbacks,Argentina,2%
I trust companies that use artificial intelligence as much as I trust other companies,Argentina,-3%
Products and services using artificial intelligence make me nervous,Argentina,14%
I know which types of products and services use AI,Argentina,-3%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Argentina,-8%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Australia,4%
I know which types of products and services use AI,Australia,-1%
Products and services using artificial intelligence make me nervous,Australia,18%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Australia,12%
Products and services using artificial intelligence have more benefits than drawbacks,Australia,2%
I have a good understanding of what artificial intelligence is,Australia,0%
I trust companies that use artificial intelligence as much as I trust other companies,Australia,6%
I know which types of products and services use AI,Belgium,-3%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Belgium,-6%
I trust companies that use artificial intelligence as much as I trust other companies,Belgium,-1%
Products and services using artificial intelligence make me nervous,Belgium,9%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Belgium,0%
I have a good understanding of what artificial intelligence is,Belgium,-4%
Products and services using artificial intelligence have more benefits than drawbacks,Belgium,2%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Brazil,12%
Products and services using artificial intelligence make me nervous,Brazil,16%
I trust companies that use artificial intelligence as much as I trust other companies,Brazil,9%
I know which types of products and services use AI,Brazil,4%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Brazil,10%
I have a good understanding of what artificial intelligence is,Brazil,5%
Products and services using artificial intelligence have more benefits than drawbacks,Brazil,7%
I know which types of products and services use AI,Canada,1%
I have a good understanding of what artificial intelligence is,Canada,-1%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Canada,11%
Products and services using artificial intelligence have more benefits than drawbacks,Canada,6%
I trust companies that use artificial intelligence as much as I trust other companies,Canada,5%
Products and services using artificial intelligence make me nervous,Canada,14%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Canada,2%
I know which types of products and services use AI,Chile,-1%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Chile,-4%
I trust companies that use artificial intelligence as much as I trust other companies,Chile,-5%
