Statement,Country,"% of respondents that ""agree"" with statement"
The amount of time it takes me to get things done,Global,54%
"My entertainment options (television/video content, movies, music, books)",Global,51%
My health,Global,39%
My job,Global,37%
The economy in my country,Global,34%
The job market,Global,32%
The amount of time it takes me to get things done,Argentina,62%
"My entertainment options (television/video content, movies, music, books)",Argentina,63%
My health,Argentina,47%
My job,Argentina,36%
The economy in my country,Argentina,28%
The job market,Argentina,38%
The amount of time it takes me to get things done,Australia,44%
"My entertainment options (television/video content, movies, music, books)",Australia,43%
My health,Australia,29%
My job,Australia,30%
The economy in my country,Australia,26%
The job market,Australia,20%
The amount of time it takes me to get things done,Belgium,39%
"My entertainment options (television/video content, movies, music, books)",Belgium,37%
My health,Belgium,28%
My job,Belgium,21%
The economy in my country,Belgium,18%
The job market,Belgium,18%
The amount of time it takes me to get things done,Brazil,67%
"My entertainment options (television/video content, movies, music, books)",Brazil,64%
My health,Brazil,55%
My job,Brazil,55%
The economy in my country,Brazil,51%
The job market,Brazil,49%
The amount of time it takes me to get things done,Canada,39%
"My entertainment options (television/video content, movies, music, books)",Canada,42%
My health,Canada,29%
My job,Canada,25%
The economy in my country,Canada,20%
The job market,Canada,19%
The amount of time it takes me to get things done,Chile,60%
"My entertainment options (television/video content, movies, music, books)",Chile,63%
My health,Chile,47%
My job,Chile,36%
The economy in my country,Chile,31%
The job market,Chile,32%
The amount of time it takes me to get things done,Colombia,65%
"My entertainment options (television/video content, movies, music, books)",Colombia,64%
My health,Colombia,50%
My job,Colombia,41%
The economy in my country,Colombia,40%
The job market,Colombia,38%
The amount of time it takes me to get things done,France,45%
"My entertainment options (television/video content, movies, music, books)",France,32%
My health,France,37%
My job,France,26%
The economy in my country,France,24%
The job market,France,21%
The amount of time it takes me to get things done,Germany,37%
"My entertainment options (television/video content, movies, music, books)",Germany,39%
My health,Germany,25%
My job,Germany,23%
The economy in my country,Germany,27%
The job market,Germany,20%
The amount of time it takes me to get things done,Great Britain,46%
"My entertainment options (television/video content, movies, music, books)",Great Britain,45%
My health,Great Britain,33%
My job,Great Britain,32%
The economy in my country,Great Britain,31%
The job market,Great Britain,21%
The amount of time it takes me to get things done,Hungary,54%
"My entertainment options (television/video content, movies, music, books)",Hungary,41%
My health,Hungary,28%
My job,Hungary,24%
The economy in my country,Hungary,25%
The job market,Hungary,24%
The amount of time it takes me to get things done,India,57%
"My entertainment options (television/video content, movies, music, books)",India,57%
My health,India,50%
My job,India,48%
The economy in my country,India,54%
The job market,India,49%
The amount of time it takes me to get things done,Indonesia,72%
"My entertainment options (television/video content, movies, music, books)",Indonesia,71%
My health,Indonesia,58%
My job,Indonesia,62%
The economy in my country,Indonesia,58%
The job market,Indonesia,50%
The amount of time it takes me to get things done,Ireland,42%
"My entertainment options (television/video content, movies, music, books)",Ireland,44%
My health,Ireland,29%
My job,Ireland,24%
The economy in my country,Ireland,25%
The job market,Ireland,22%
The amount of time it takes me to get things done,Italy,48%
"My entertainment options (television/video content, movies, music, books)",Italy,45%
My health,Italy,37%
