Country,Label,% of respondents
Global,Yes,63.0%
Argentina,Yes,66.6%
Australia,Yes,59.5%
Brazil,Yes,63.5%
Canada,Yes,64.3%
Chile,Yes,52.5%
China,Yes,59.8%
France,Yes,60.0%
Germany,Yes,60.4%
India,Yes,81.8%
Indonesia,Yes,76.4%
Italy,Yes,52.2%
Japan,Yes,61.0%
Kenya,Yes,80.8%
Mexico,Yes,58.2%
Pakistan,Yes,76.3%
Poland,Yes,43.0%
Portugal,Yes,59.0%
South Africa,Yes,68.6%
Spain,Yes,61.1%
United Kingdom,Yes,61.3%
United States,Yes,54.5%
Global,Unsure,7.4%
Argentina,Unsure,7.0%
Australia,Unsure,4.9%
Brazil,Unsure,6.8%
Canada,Unsure,7.3%
Chile,Unsure,10.6%
China,Unsure,9.2%
France,Unsure,6.6%
Germany,Unsure,6.7%
India,Unsure,2.9%
Indonesia,Unsure,6.2%
Italy,Unsure,8.3%
Japan,Unsure,11.7%
Kenya,Unsure,2.2%
Mexico,Unsure,10.5%
Pakistan,Unsure,6.0%
Poland,Unsure,16.2%
Portugal,Unsure,6.7%
South Africa,Unsure,6.9%
Spain,Unsure,6.4%
United Kingdom,Unsure,6.2%
United States,Unsure,6.7%
Global,No,29.6%
Argentina,No,26.5%
Australia,No,35.6%
Brazil,No,29.7%
Canada,No,28.4%
Chile,No,37.9%
China,No,31.0%
France,No,33.4%
Germany,No,32.9%
India,No,15.3%
Indonesia,No,17.3%
Italy,No,40.6%
Japan,No,27.3%
Kenya,No,17.0%
Mexico,No,31.3%
Pakistan,No,17.7%
Poland,No,40.8%
Portugal,No,34.3%
South Africa,No,24.5%
Spain,No,32.5%
United Kingdom,No,32.5%
United States,No,38.8%
